"","Name","MinYear","MaxYear","MaxCount","SumCount","Perc"
"1","Daleyza",2012,2014,1461,1988,0.734909456740443
"2","Everly",1944,2014,1854,3643,0.508921218775734
"3","Kizzy",1977,2013,1116,2312,0.482698961937716
"4","Deneen",1947,2007,1604,3603,0.44518456841521
"5","Aranza",1991,2014,473,1120,0.422321428571429
"6","Marely",1989,2014,1004,2436,0.412151067323481
"7","Moesha",1996,2014,426,1067,0.399250234301781
"8","Allisson",1976,2014,767,2120,0.361792452830189
"9","Paislee",1990,2014,915,2550,0.358823529411765
"10","Henley",1991,2014,587,1650,0.355757575757576
"11","Tennille",1975,2012,769,2172,0.354051565377532
"12","Kadijah",1969,2014,486,1404,0.346153846153846
"13","Cataleya",2011,2014,687,2037,0.337260677466863
"14","Akeelah",1989,2014,403,1228,0.328175895765472
"15","Catina",1949,2011,1370,4177,0.327986593248743
"16","Adley",1921,2014,376,1154,0.325823223570191
"17","Jaslene",1995,2014,872,2679,0.325494587532661
"18","Everleigh",2008,2014,388,1247,0.311146752205293
"19","Analia",1973,2014,996,3212,0.310087173100872
"20","Adalynn",1996,2014,2512,8643,0.290639824135138
"21","Lennon",1981,2014,399,1395,0.286021505376344
"22","Arya",1986,2014,1544,5414,0.285186553380126
"23","Jazlene",2000,2014,340,1202,0.282861896838602
"24","Collins",1982,2014,327,1176,0.278061224489796
"25","Aubriella",2004,2014,290,1075,0.269767441860465
"26","Yamilex",1995,2014,301,1127,0.267080745341615
"27","Khadijah",1962,2014,1615,6078,0.265712405396512
"28","Ashanti",1970,2014,2944,11135,0.264391558149978
"29","Elizabet",1953,2014,445,1690,0.263313609467456
"30","Iesha",1968,2014,1896,7404,0.256077795786062
"31","Coraline",1970,2014,450,1772,0.253950338600451
"32","Martika",1986,2001,273,1077,0.253481894150418
"33","Aria",1900,2014,5893,23438,0.251429302841539
"34","Miley",1889,2014,2648,10548,0.251042851725446
"35","Harper",1971,2014,9564,38649,0.247457890242956
"36","Addilynn",2003,2014,289,1171,0.246797608881298
"37","Paisley",1966,2014,4473,18183,0.245999010064346
"38","Katina",1920,2014,2744,11210,0.244781445138269
"39","Jaleesa",1987,2014,718,3028,0.237120211360634
"40","Avalynn",2002,2014,281,1195,0.235146443514644
"41","Juniper",1969,2014,633,2709,0.233665559246955
"42","Monroe",1928,2014,354,1527,0.231827111984283
"43","Marquita",1919,2014,2543,11002,0.231139792764952
"44","Mila",1881,2014,4033,17721,0.227583093504881
"45","Taraji",2002,2014,423,1879,0.225119744544971
"46","Briella",1993,2014,967,4309,0.224414017173358
"47","Kinleigh",1998,2014,230,1025,0.224390243902439
"48","Kinslee",1997,2014,291,1305,0.222988505747126
"49","Londynn",2004,2014,238,1071,0.222222222222222
"50","Mylie",1924,2014,337,1517,0.222148978246539
"51","Adelynn",1990,2014,1058,4783,0.221200083629521
"52","Milania",2000,2014,366,1658,0.220747889022919
"53","Mylee",1968,2014,730,3331,0.21915340738517
"54","Addilyn",1999,2014,563,2595,0.216955684007707
"55","Isamar",1990,2014,446,2065,0.215980629539952
"56","Sutton",1963,2014,361,1673,0.215780035863718
"57","Zhane",1993,2014,391,1817,0.215189873417722
"58","Rihanna",2000,2014,1072,5007,0.214100259636509
"59","Emersyn",1998,2014,742,3476,0.213463751438435
"60","Latifah",1974,2014,300,1414,0.212164073550212
"61","Jaylah",1993,2014,1363,6427,0.212074062548623
"62","Sawyer",1986,2014,955,4564,0.209246275197195
"63","Brynlee",1995,2014,1387,6657,0.208352110560312
"64","Oakley",1913,2014,362,1759,0.205798749289369
"65","Erykah",1997,2014,279,1356,0.205752212389381
"66","Merrily",1936,2001,210,1026,0.204678362573099
"67","Hadleigh",1994,2014,310,1523,0.203545633617859
"68","Neriah",1994,2014,287,1416,0.202683615819209
"69","Harlow",2002,2014,605,2992,0.202205882352941
"70","Remington",1988,2014,410,2029,0.202069985214391
"71","Finley",1989,2014,1498,7416,0.201995685005394
"72","Citlalli",1989,2014,413,2064,0.200096899224806
"73","Krystle",1969,2012,2579,12926,0.199520346588272
"74","Kinsley",1978,2014,2429,12176,0.199490801576873
"75","Blakely",1969,2014,771,3868,0.199327817993795
"76","Aubrielle",1991,2014,355,1784,0.198991031390135
"77","Tinley",2002,2014,273,1381,0.19768283852281
"78","Shanice",1968,2014,1858,9401,0.197638549090522
"79","Adilynn",2002,2014,219,1110,0.197297297297297
"80","Anniston",1996,2014,298,1512,0.197089947089947
"81","Adalyn",1908,2014,2105,10725,0.196270396270396
"82","Isla",1886,2014,2122,10919,0.194340141038557
"83","Calleigh",1991,2014,335,1734,0.193194925028835
"84","Kaleena",1981,2014,341,1778,0.191788526434196
"85","Gracelynn",1995,2014,705,3691,0.191005147656462
"86","Journee",1986,2014,675,3544,0.190462753950339
"87","Londyn",1989,2014,2081,10990,0.189353958143767
"88","Ariya",1991,2014,330,1744,0.189220183486239
"89","Analeigh",1994,2014,199,1059,0.187913125590179
"90","Joretta",1930,1972,194,1033,0.187802516940949
"91","Addalyn",1998,2014,214,1143,0.187226596675416
"92","Khloe",1989,2014,5398,29003,0.186118677378202
"93","Tenley",1953,2014,736,3960,0.185858585858586
"94","Evita",1951,2014,210,1131,0.185676392572944
"95","Jailene",1992,2014,513,2771,0.185131721400217
"96","Yulissa",1974,2014,612,3316,0.184559710494572
"97","River",1988,2014,703,3810,0.184514435695538
"98","Ziva",1960,2014,192,1042,0.18426103646833
"99","Beyonce",1998,2014,353,1926,0.183281412253375
"100","Kynlee",1996,2014,459,2514,0.182577565632458
"101","Xena",1992,2014,279,1529,0.182472204054938
"102","Emmalynn",1985,2014,361,2001,0.180409795102449
"103","Charleigh",1985,2014,555,3082,0.180077871512005
"104","Yadhira",1971,2014,232,1290,0.17984496124031
"105","Freya",1931,2014,512,2848,0.179775280898876
"106","Kensington",1997,2014,229,1277,0.179326546593579
"107","Avalyn",1932,2014,252,1414,0.178217821782178
"108","Kecia",1962,2003,560,3146,0.178003814367451
"109","Nahla",1984,2014,305,1716,0.177738927738928
"110","Ieshia",1970,2014,293,1650,0.177575757575758
"111","Hadlee",1994,2014,289,1645,0.175683890577508
"112","Braelynn",1989,2014,537,3057,0.175662414131501
"113","Arabella",1881,2014,1894,10825,0.174965357967667
"114","Kenadie",1995,2014,256,1468,0.174386920980926
"115","Emerie",1994,2014,293,1684,0.173990498812352
"116","Shelva",1936,1980,194,1117,0.173679498657117
"117","Kenleigh",1991,2014,202,1165,0.173390557939914
"118","Adelyn",1899,2014,1666,9627,0.173054949620858
"119","Braylee",1993,2014,572,3321,0.172237277928335
"120","Bristol",1973,2014,749,4358,0.171867829279486
"121","Aliyana",1999,2014,191,1112,0.171762589928058
"122","Emery",1906,2014,2026,11827,0.171302950875116
"123","Ariadne",1960,2014,347,2037,0.170348551791851
"124","Emmalyn",1946,2014,681,4001,0.170207448137966
"125","Tkeyah",1990,2008,172,1020,0.168627450980392
"126","Azul",1995,2014,497,2949,0.168531705662937
"127","Zina",1884,2014,793,4707,0.168472487784151
"128","Shaniqua",1971,2010,861,5117,0.168262653898769
"129","Calliope",1917,2014,196,1165,0.168240343347639
"130","Addelyn",2001,2014,189,1129,0.1674047829938
"131","Montserrat",1972,2014,533,3184,0.167399497487437
"132","Syreeta",1970,2006,326,1960,0.166326530612245
"133","Kinlee",1998,2014,235,1419,0.165609584214235
"134","Hadley",1964,2014,2992,18143,0.164912087306399
"135","Caylee",1980,2014,1243,7544,0.164766702014846
"136","Aubree",1972,2014,4431,26904,0.164696699375558
"137","Kimora",1990,2014,1145,6953,0.164677117790882
"138","Kizzie",1880,2011,286,1741,0.164273406088455
"139","Jovie",2004,2014,187,1141,0.163891323400526
"140","Novalee",1962,2014,167,1019,0.163886162904809
"141","Scarlett",1937,2014,5965,36424,0.163765649022622
"142","Rilynn",1999,2014,228,1393,0.16367552045944
"143","Marlowe",1918,2014,203,1244,0.163183279742765
"144","Adilyn",2001,2014,193,1183,0.163144547759932
"145","Deb",1953,1972,236,1450,0.162758620689655
"146","Khushi",1999,2014,178,1095,0.162557077625571
"147","Sheena",1943,2014,3598,22180,0.162218214607755
"148","Tamiko",1917,2002,486,2997,0.162162162162162
"149","Rylynn",1996,2014,187,1156,0.161764705882353
"150","Yamile",1963,2014,204,1266,0.161137440758294
"151","Shelba",1935,1982,344,2136,0.161048689138577
"152","Zayla",1994,2014,198,1240,0.159677419354839
"153","Shirl",1934,1983,210,1323,0.158730158730159
"154","Jaime",1937,2014,7836,49480,0.158367016976556
"155","Temperance",1916,2014,320,2021,0.158337456704602
"156","Alisson",1973,2014,493,3116,0.158215661103979
"157","Tinsley",1982,2014,232,1470,0.157823129251701
"158","Sharman",1947,1983,160,1014,0.157790927021696
"159","Wren",1888,2014,397,2516,0.157790143084261
"160","Kensley",1987,2014,477,3027,0.157581764122894
"161","Farrah",1968,2014,1516,9640,0.157261410788382
"162","Dorla",1923,1970,171,1089,0.15702479338843
"163","Yaretzi",1998,2014,1057,6754,0.156499851939591
"164","Kinley",1979,2014,1746,11198,0.155920700125022
"165","Annabeth",1919,2014,207,1332,0.155405405405405
"166","Luna",1880,2014,2314,14908,0.155218674537161
"167","Zuri",1971,2014,660,4257,0.155038759689922
"168","Ayva",2000,2014,280,1811,0.154610712313639
"169","Sailor",1998,2014,198,1282,0.154446177847114
"170","Infant",1984,2010,580,3764,0.154091392136026
"171","Britny",1980,2014,289,1877,0.153969099627064
"172","Adalee",1915,2014,213,1386,0.153679653679654
"173","Audrina",1983,2014,983,6400,0.15359375
"174","Milani",1991,2014,277,1806,0.153377630121816
"175","Mylah",1993,2014,248,1620,0.153086419753086
"176","Dayanara",1974,2014,909,5939,0.153056070045462
"177","Batsheva",1969,2014,195,1276,0.15282131661442
"178","Kirstie",1950,2011,634,4150,0.152771084337349
"179","Raelynn",1947,2014,1222,8003,0.152692740222417
"180","Tenika",1971,1998,157,1029,0.152575315840622
"181","Brande",1964,2004,174,1141,0.152497808939527
"182","Itzayana",1993,2014,208,1371,0.151714077315828
"183","Shanequa",1971,2002,284,1874,0.151547491995731
"184","Courteney",1968,2008,170,1124,0.151245551601424
"185","Malaysia",1987,2014,810,5367,0.150922302962549
"186","Jeryl",1931,1978,155,1029,0.150631681243926
"187","Jemma",1915,2014,445,2960,0.150337837837838
"188","Brianda",1979,2014,265,1770,0.149717514124294
"189","Shawnte",1968,2007,207,1383,0.149674620390456
