"","Name","MinYear","MaxYear","MaxCount","SumCount","Perc"
"1","Jayceon",2005,2014,2006,4385,0.457468643101482
"2","Kanye",2002,2014,507,1261,0.402061855670103
"3","Neymar",2010,2014,498,1420,0.350704225352113
"4","Shaquille",1989,2014,1784,5283,0.33768692031043
"5","Aaden",2001,2014,1267,3915,0.323627075351213
"6","Jase",1967,2014,4545,14302,0.317787721996924
"7","Talan",1985,2014,1058,3405,0.31071953010279
"8","Kyrie",1986,2014,554,1785,0.310364145658263
"9","Nakia",1974,2013,611,1982,0.308274470232089
"10","Thiago",1986,2014,791,2727,0.29006233956729
"11","Karter",1985,2014,2103,7779,0.270343231777863
"12","Levar",1977,2014,523,1948,0.268480492813142
"13","Iker",1998,2014,1787,6714,0.266160262138814
"14","Raylan",1975,2014,563,2156,0.26113172541744
"15","Vihaan",2004,2014,491,1923,0.255330213208528
"16","Anfernee",1992,2013,300,1180,0.254237288135593
"17","Bently",1915,2014,434,1744,0.248853211009174
"18","Brantley",1893,2014,3322,13447,0.247043950323492
"19","Hendrix",1885,2014,498,2062,0.241513094083414
"20","Finnley",1999,2014,259,1073,0.241379310344828
"21","Bentlee",2007,2014,442,1845,0.239566395663957
"22","Hoover",1913,1988,255,1114,0.228904847396768
"23","Axton",1988,2014,307,1355,0.226568265682657
"24","Kaysen",1998,2014,302,1342,0.225037257824143
"25","Zayn",1993,2014,270,1206,0.223880597014925
"26","Jaheim",2000,2014,752,3375,0.222814814814815
"27","Harding",1913,2012,235,1072,0.219216417910448
"28","Axl",1988,2014,261,1194,0.218592964824121
"29","Dereon",1990,2014,238,1104,0.215579710144928
"30","Zaiden",2000,2014,959,4462,0.214926042133572
"31","Knox",1881,2014,1238,5781,0.214149801072479
"32","Zayden",2000,2014,2209,10319,0.214071130923539
"33","Raekwon",1994,2014,445,2119,0.210004719207173
"34","Kayson",1982,2014,699,3340,0.209281437125749
"35","Legend",1993,2014,515,2461,0.209264526615197
"36","Tyrese",1972,2014,1691,8135,0.207867240319607
"37","Devante",1987,2014,1565,7567,0.206819082859786
"38","Jax",1995,2014,1836,8909,0.206083735548322
"39","Cordero",1986,2014,340,1657,0.205190102595051
"40","Bentley",1890,2014,5858,28670,0.204325078479247
"41","Atlas",1883,2014,404,1979,0.204143506821627
"42","Brentley",1957,2014,409,2004,0.204091816367265
"43","Ares",1983,2014,294,1452,0.202479338842975
"44","Ryker",1970,2014,2666,13283,0.200707671459761
"45","Brittany",1974,2004,216,1078,0.200371057513915
"46","Xavi",2005,2014,272,1360,0.2
"47","Jaxton",1997,2014,640,3216,0.199004975124378
"48","Arsenio",1913,2014,397,1998,0.198698698698699
"49","Telly",1967,2014,293,1481,0.197839297771776
"50","Dash",1984,2014,220,1132,0.19434628975265
"51","Messiah",1973,2014,1178,6087,0.193527189091506
"52","Lochlan",1998,2014,233,1213,0.192085737840066
"53","Omarion",2001,2014,639,3361,0.190121987503719
"54","Archer",1880,2014,1171,6198,0.18893191352049
"55","Jaxson",1991,2014,4900,26109,0.187674748171129
"56","Beckett",1992,2014,1511,8082,0.186958673595645
"57","Aayden",2003,2014,188,1006,0.186878727634195
"58","Kash",1916,2014,832,4458,0.186630776132795
"59","Bodhi",1976,2014,430,2339,0.183839247541684
"60","Tevin",1969,2014,1936,10655,0.181698732989207
"61","Juwan",1970,2014,641,3531,0.181534975927499
"62","Lennox",1918,2014,469,2590,0.181081081081081
"63","Jahiem",2001,2014,235,1298,0.181047765793528
"64","Cayson",1993,2014,356,1969,0.180802437785678
"65","Henrik",1935,2014,253,1403,0.180327868852459
"66","Gael",1919,2014,2741,15307,0.179068400078396
"67","Jaxen",1998,2014,553,3103,0.178214631002256
"68","Jayse",1990,2014,233,1309,0.177998472116119
"69","Maverick",1957,2014,1862,10473,0.177790508927719
"70","Crew",1995,2014,367,2070,0.177294685990338
"71","Princeton",1950,2014,535,3022,0.177035076108537
"72","Kase",1983,2014,286,1616,0.176980198019802
"73","Callen",1954,2014,557,3160,0.17626582278481
"74","Kingston",1919,2014,2566,14580,0.17599451303155
"75","Gannon",1966,2014,747,4258,0.175434476279944
"76","Greyson",1965,2014,3022,17313,0.174550915497025
"77","Beckham",1902,2014,573,3283,0.174535485836125
"78","Tyreke",1981,2014,219,1260,0.173809523809524
"79","Nixon",1917,2014,469,2705,0.173382624768946
"80","Nery",1979,2014,222,1281,0.173302107728337
"81","Kamdyn",2000,2014,247,1442,0.17128987517337
"82","Easton",1907,2014,4961,28992,0.171116169977925
"83","Amarion",1998,2014,504,2977,0.16929795095734
"84","Urijah",2000,2014,403,2389,0.168689828380075
"85","Yandel",2001,2014,511,3030,0.168646864686469
"86","Callan",1957,2014,379,2250,0.168444444444444
"87","Eason",1918,2014,170,1014,0.167652859960552
"88","Ayaan",2000,2014,484,2893,0.167300380228137
"89","Kadeem",1988,2014,392,2363,0.165890816758358
"90","Imanol",1998,2014,188,1135,0.165638766519824
"91","Cairo",1979,2014,171,1034,0.165377176015474
"92","Kaison",1989,2014,213,1288,0.165372670807453
"93","Crosby",1912,2014,431,2611,0.165070854078897
"94","Sylas",1975,2014,507,3106,0.163232453316162
"95","Odin",1884,2014,594,3651,0.162695152013147
"96","Jaxon",1972,2014,7635,47020,0.16237771161208
"97","Aarav",2002,2014,531,3271,0.162335677162947
"98","Ronin",1998,2014,494,3078,0.160493827160494
"99","Shemar",1994,2014,335,2097,0.159752026704816
"100","Jayce",1956,2014,2696,17161,0.157100402074471
"101","Tayshaun",1997,2014,186,1188,0.156565656565657
"102","Cristiano",1989,2014,247,1583,0.156032849020846
"103","Declan",1951,2014,3299,21295,0.154918995069265
"104","King",1880,2014,2418,15713,0.153885317889646
"105","Jadiel",1999,2014,392,2548,0.153846153846154
"106","Casen",1978,2014,433,2815,0.153818827708703
"107","Greysen",1993,2014,155,1012,0.153162055335968
"108","Aarush",2002,2014,227,1483,0.153068105192178
"109","Tatum",1973,2014,484,3169,0.152729567686967
"110","Kamden",1986,2014,894,5874,0.152196118488253
"111","Lucca",1993,2014,319,2096,0.15219465648855
"112","Daxton",1970,2014,583,3835,0.152020860495437
