"","Name","TotalM","TotalF","Dif"
"1","Krishna",1715,1713,0.000583430571761967
"2","Michal",3620,3563,0.00793540303494367
"3","Lian",671,684,0.00959409594095945
"4","Kerry",49417,48452,0.00986011913884882
"5","Delane",922,942,0.0107296137339056
"6","Shaya",745,727,0.0122282608695652
"7","Kris",13792,13437,0.0130375702376143
"8","Ivory",8186,8405,0.0131999276716292
"9","Christan",1403,1366,0.0133622246298302
"10","Terryl",740,717,0.0157858613589568
"11","Kendel",748,772,0.0157894736842106
"12","Teegan",1092,1055,0.0172333488588729
"13","Kodi",2271,2362,0.0196417008417871
"14","Ricci",873,839,0.0198598130841121
"15","Baby",6034,5798,0.0199459093982421
"16","Ashtin",1206,1158,0.0203045685279188
"17","Dann",1090,1145,0.0246085011185682
"18","Ocean",1292,1361,0.0260082924990577
"19","Teagen",551,522,0.027027027027027
"20","De",681,641,0.0302571860816944
"21","Elisha",12431,13214,0.0305322674985378
"22","Seneca",1537,1441,0.0322364002686367
"23","Kailen",597,638,0.0331983805668016
"24","Riley",87494,81605,0.034825752961283
"25","Robbie",20676,22215,0.0358816534937399
"26","Camdyn",1926,1786,0.0377155172413793
"27","Arlyn",2043,1893,0.038109756097561
"28","Jireh",543,587,0.0389380530973451
"29","Talyn",676,731,0.03909026297086
"30","Infant",4072,3764,0.0393057682491067
"31","Amari",12562,11469,0.0454829178977154
"32","Devine",687,627,0.0456621004566211
"33","Lavaughn",877,962,0.046220772158782
"34","Marlowe",1365,1244,0.0463779225756995
"35","Tam",910,829,0.046578493387004
"36","Ardell",2400,2635,0.0466732869910626
"37","Natividad",1722,1892,0.0470392916436082
"38","Ardie",516,568,0.0479704797047971
"39","Tristyn",1677,1846,0.0479704797047971
"40","Kylin",944,857,0.0483064963908939
"41","Adair",1312,1191,0.0483419896124651
"42","Demetrice",1590,1754,0.0490430622009569
"43","Lakota",1149,1272,0.0508054522924411
"44","Cameran",871,781,0.0544794188861986
"45","Justice",15423,13778,0.0563336872024931
"46","Sutton",1875,1673,0.0569334836527621
"47","Ashten",968,1085,0.0569897710667316
"48","Lugene",746,665,0.0574060949681077
"49","Notnamed",722,643,0.0578754578754579
"50","Salem",1507,1342,0.057915057915058
"51","Rennie",989,879,0.0588865096359743
"52","Jaziah",662,587,0.0600480384307446
"53","Kalin",1657,1466,0.0611591418507845
"54","Tru",646,731,0.0617283950617284
"55","Le",775,877,0.0617433414043584
"56","Adel",1109,1258,0.0629488804393747
"57","Blair",14242,12502,0.0650613221657194
"58","Collen",586,513,0.0664240218380345
"59","Kiran",1913,1672,0.0672245467224546
"60","Shade",966,836,0.0721420643729189
"61","Jackie",78148,90337,0.0723447191144613
"62","Campbell",4030,4668,0.0733501954472293
"63","Evyn",602,698,0.0738461538461539
"64","Lin",822,954,0.0743243243243243
"65","Shai",941,1095,0.0756385068762279
"66","An",852,992,0.0759219088937093
"67","Yael",2604,3044,0.0779036827195467
"68","Micha",926,1086,0.0795228628230616
"69","Devyn",6000,7041,0.0798251667816885
"70","Joell",875,1029,0.0808823529411765
"71","Finley",6302,7416,0.081207173057297
"72","Ellery",2144,2529,0.0823881874598759
"73","Maxie",4615,3906,0.0832061964558151
"74","Deniz",712,601,0.0845392231530845
"75","Santana",3896,4616,0.0845864661654135
"76","Toy",1151,967,0.0868744098205854
"77","Burnice",1331,1594,0.0899145299145299
"78","Anay",622,745,0.0899780541331383
"79","Kodie",1168,974,0.0905695611577964
"80","Kamdyn",1442,1201,0.0911842603102535
"81","Emari",590,709,0.0916089299461124
